22:54:44:549 [ALWAYS]	GUDE Logging Started
22:54:44:549 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:54:44:549 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:54:44:549 [ERROR]	Initialize resume cache pointer failure
22:54:44:550 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:54:44:550 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:54:48:288 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:54:48:288 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:54:48:288 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:54:48:288 [ERROR]	Initialize resume cache pointer failure
22:54:48:288 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:54:48:288 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
